,user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language,Parsed,lemmas
770,,Ring-ding-ding-ding-dingeringeding! Gering-ding-ding-ding-dingeringeding.What does the fox say? Napoles: hindi ko po alam.,1383889983.0,HelloDonne,'398810401116127232',,,,,en,Ring-ding-ding-ding-dingeringeding! Gering-ding-ding-ding-dingeringeding.What does the fox say? Napoles: hindi ko po alam.,"[Ring, ding, ding, ding, dingeringeding, Gering, ding, ding, ding, dingeringeding, fox, Napoles, hindi, ko, po, alam]"
771,Pigfarts,Miriam Defensor and Janet Napoles oh my god (sorry watching it just now because NO TV) HAHAHSkHDKLASKd,1383889987.0,KimPeAguirre,'398810415108329472',Beijing,,28800.0,,en,Miriam Defensor and Janet Napoles oh my god (sorry watching it just now because NO TV) HAHAHSkHDKLASKd,"[Miriam, Defensor, Janet, Napoles, oh, god, sorry, watching, TV, HAHAHSkHDKLASKd]"
772,"Manila, Philippines","RT""@HecklerForever: The most annoying thing about Janet Lim-Napoles after yesterday's hearing? She was still breathing.""",1383890007.0,gretarevilla,'398810498461745152',Alaska,,-32400.0,,en,"RT""@HecklerForever: The most annoying thing about Janet Lim-Napoles after yesterday's hearing? She was still breathing.""","[RT""@HecklerForever, annoying, thing, Janet, Lim, Napoles, yesterday, 's, hearing, breathing]"
773,,#iinvokemyright_napoles,1383890054.0,BeaGabriel3,'398810696697135104',,,,,en,#iinvokemyright_napoles,[iinvokemyright_napoles]
774,Philippines,"Rappler Newscast: Yolanda PH, pork barrel, HK and Manila | Watch: http://t.co/4LJDRLA3DO via Rappler",1383890080.0,VideoTweetsPH,'398810805267087360',,,,,en,"Rappler Newscast: Yolanda PH, pork barrel, HK and Manila | Watch: http://t.co/4LJDRLA3DO via Rappler","[Rappler, Newscast, Yolanda, PH, pork, barrel, HK, Manila, |, Watch, http://t.co/4LJDRLA3DO, Rappler]"
775,Philippines,Let's just pray for #YolandaPH victims .. No Napoles case at this time #GodBlessPHILIPPINES #PrayForThePhilippines,1383890082.0,vixslappedTV,'398810816096370688',Irkutsk,,32400.0,,en,Let's just pray for #YolandaPH victims .. No Napoles case at this time #GodBlessPHILIPPINES #PrayForThePhilippines,"[Let, 's, pray, YolandaPH, victims, Napoles, case, time, GodBlessPHILIPPINES, PrayForThePhilippines]"
776,Philippines :),Meet my pet Napoles  http://t.co/EkU9sNqcx0,1383890087.0,31JOANNECLAIRE,'398810834450653185',Greenland,,-10800.0,,en,Meet my pet Napoles  http://t.co/EkU9sNqcx0,"[Meet, pet, Napoles,  , http://t.co/EkU9sNqcx0]"
777,,"Maybe in her head she oathed to tell a lie, a whole lie and nothing but a lie. :( #Napoles",1383890095.0,MhiekaBatoon,'398810869439528960',,,,,en,"Maybe in her head she oathed to tell a lie, a whole lie and nothing but a lie. :( #Napoles","[Maybe, head, oathed, tell, lie, lie, lie, Napoles]"
778,eating santa's cookies,I used to pronounce napoles as nay-poulsThen I was like what kind of name is naypoulsIt sounds like nipples,1383890131.0,_FrustDREItion,'398811019687915520',Pacific Time (US & Canada),,-28800.0,,en,I used to pronounce napoles as nay-poulsThen I was like what kind of name is naypoulsIt sounds like nipples,"[pronounce, napoles, nay, poulsThen, like, kind, naypoulsIt, sounds, like, nipples]"
779,"Alexandria, VA",Pork Barrel BBQ Offers Reward for Finding Houdini http://t.co/39UqzlwKfB,1383890184.0,WEAlexVAPatch,'398811243856683010',Atlantic Time (Canada),,-14400.0,,en,Pork Barrel BBQ Offers Reward for Finding Houdini http://t.co/39UqzlwKfB,"[Pork, Barrel, BBQ, Offers, Reward, Finding, Houdini, http://t.co/39UqzlwKfB]"
