user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language
"Manila, Philippines",@rapplerdotcom Napoles just comfortable in life? With 7 cars as she claimed? That's a high standard! #Napoles,1383877199.0,lanzor_ph,'398756780173307905',Hong Kong,121.03555231,28800,14.59071875,en
Philippines,"""The life of Janet Lim Napoles, the alleged mastermind of the pork barrel fun scam, has been reduced to numbers.... http://t.co/vMzBDJmW23",1383877202.0,OccupyPhils,'398756790747553792',Beijing,,28800,,en
,Benhur Luy: Huh! Humanda ka Napoles! http://t.co/h8Kehgo1XW,1383877208.0,jasliyelol,'398756818249187328',Arizona,,-25200,,en
,funniest napoles joke so far (plus tao kpop convention look alike meme) https://t.co/NTe8mCqCdW,1383877224.0,wh_pika,'398756882736627712',Beijing,,28800,,en
"Cebu City, Philippines","@rapplerdotcom: Janet Lim Napoles denied she is wealthy, but rather ""tama lang sa buhay (comfortable in life)"" - AMALAYER.",1383877226.0,ialquizola,'398756892958146561',Pacific Time (US & Canada),,-28800,,en
pizzaland down the road,"""hows ur grades? me: [janet lim-napoles' voice] ""i invoke my right to self-incrimination""",1383877227.0,karlaeulalio,'398756895529246720',Arizona,,-25200,,en
manila,"NAPOLES: ""I invoke my right against self-incrimination.""",1383877235.0,CelaiCruzado,'398756932095201282',Beijing,,28800,,en
San Pablo City,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/DnZXQOsrOE""",1383877240.0,GeraldFlores303,'398756953083506688',Pacific Time (US & Canada),,-28800,,en
"Dasmarias,Cavite","""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/7B4zlDWfPj""",1383877256.0,ZaynMalik1D_Rea,'398757020213334016',Beijing,,28800,,en
FAIRVIEW QUEZON CITY,#PrayForThePhilippines  #YolandaPH strongest typhoon  #napoles #miriam #pdaf #funnyphoto http://t.co/75Lz3liMsJ,1383877258.0,bad_BEATch,'398757025728839680',Beijing,,28800,,en
#fabskwaterz #SKWATERSHIRE,BUT MAYBE ANG SINASABING CUTE NI HARRY AY SINAMEGAN YOUNGANNE CURTISSHAMCEY SUPSUPVENUS RAJBIANCA MANALONAPOLESI,1383877276.0,5secsofangela,'398757102593654784',Pacific Time (US & Canada),,-28800,,en
"Manila, Philippines",@gmanews: Napoles' denials can be used against her Escudero http://t.co/jN870qGhfm RT,1383877286.0,SharonAniciete,'398757146096959489',,121.00683192,,14.57349131,en
Philippine Islands,RT @Jimparedes: Lets transfer Napoles to a regular jail already.  It's clear she will not cooperate to get this case moving anyway.,1383877294.0,SanyasMom,'398757179957575680',Hong Kong,,28800,,en
"T: 14.573927,121.0489968","@jayveeasis Don't you ever trust napoles! She did not graduated college and the only word she know is ""Di ko alam"".",1383877304.0,whatthegil,'398757218901708801',Hong Kong,,28800,,en
manila,@LearningConfere @uryuu_ishida06 @ThiSamanthaGirl @ynahvillarin @1105Leannie I think Janet Napoles wants to protect herself to the court.,1383877318.0,KIMCZYSOO,'398757278074941440',Seoul,,32400,,en
"Manila, Philippines",#Napoles transfer to regular jail up to court http://t.co/lo0AefNkqP | @maila_ager,1383877351.0,inquirerdotnet,'398757418831593472',Hong Kong,,28800,,en
,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/BbQjyh0S2q"" baboy!",1383877372.0,annie_sastrillo,'398757507134279681',,,,,en
,SPOTTED: Full replay of PDAF 'pork barrel' scam mastermind Napoles hearing with Senator Miriam Santi http://t.co/xOvTJvWPFH,1383877380.0,leighmichiyato,'398757537148715008',Taipei,,28800,,en
"T: 7.109189,125.6158535",8 Drinking Games You Can Play While Watching the Napoles PDAF Hearing via @The8List http://t.co/adyk6Yk4gd,1383877466.0,Obrilicious,'398757898920013824',Singapore,,28800,,en
Philipines,Hahahaha from napoles images to this! #typhoonyolanda #wreckingball #filipinohumor RG @itsbangohdayum http://t.co/3LVi3tfiin,1383877503.0,LanaMacapagal,'398758056294887424',Hong Kong,,28800,,en
Philippines,"This is such a down year for the Philippines. Pork Barrel scam, tragedy in Bohol/Cebu, typhoon Yolanda. One SMILE. #PrayForThePhilippines",1383877525.0,khiimgiron,'398758145964511232',Paris,,3600,,en
,#Napoles Facial Cream http://t.co/pSi3tp3gfP,1383877525.0,baipogs,'398758147923247104',Bangkok,,25200,,en
Kai's Jawline,dogs say awwcats say meow meowasdfghjklwat's napoles say?HINDI KO PO ALAMdingdingdingdiringdingdongchachachachachachachow,1383877531.0,KaiLeporn,'398758173433397248',Alaska,,-32400,,en
,"Yolanda, leave now! and take Napoles with you... :)",1383877540.0,jycm23,'398758209063628800',Alaska,,-32400,,en
Courtside,Anyone can send me a link of Napoles hearing yesterday? ,1383877540.0,coolangme10,'398758211131420672',Taipei,,28800,,en
Dreamland ,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/uXsSsBaP9L""",1383877542.0,CFraulien,'398758219142553600',Alaska,,-32400,,en
manila,Just me !! And napoles at my back XD http://t.co/UBlQnc3SS1,1383877544.0,drewstarfie,'398758228130938880',,,,,en
