,id,lat,lng,text,Parsed,lemmas
0,928641173232664577,14.683012,121.0627355,''GAGO SAKSES MATUTULOG NAKO BALANA MIDTERMS KO https://t.co/5TaH8hdBsC'',''GAGO SAKSES MATUTULOG NAKO BALANA MIDTERMS KO https://t.co/5TaH8hdBsC'',"['gago', 'sakses', 'matutulog', 'nako', 'balana', 'midterms']"
1,928642324996878336,14.5847555,121.0392605,''🙏 https://t.co/GN6TQgY21O'',''🙏 https://t.co/GN6TQgY21O'',[]
2,928652916272926720,14.4304565,120.96950149999999,''anuna HAHA https://t.co/uygQOL1YG7'',''anuna HAHA https://t.co/uygQOL1YG7'',"['anuna', 'haha']"
3,928652165198987265,14.7108935,121.0311415,''Mag eenroll pa naman sana ako bukas!! 😭😭😭 https://t.co/BH19Eyd7NW'',''Mag eenroll pa naman sana ako bukas!! 😭😭😭 https://t.co/BH19Eyd7NW'',"['mag', 'eenroll', 'naman', 'sana', 'ako', 'bukas', '😭😭😭']"
4,928641683369029633,14.683012,121.0627355,''Ate Biv @LoQueSoy_Biv and pamangkins 😃😃 https://t.co/NnjEr3mU0w'',''Ate Biv @LoQueSoy_Biv and pamangkins 😃😃 https://t.co/NnjEr3mU0w'',"['eat', 'biv', 'pamangkin']"
5,928653620198776833,14.683012,121.0627355,''yEheeez https://t.co/04J0rgJ3ty'',''yEheeez https://t.co/04J0rgJ3ty'',['yeheeez']
6,928642744431525889,14.606717499999998,121.12422749999999,''Naysu https://t.co/Rfa6KBkGeO'',''Naysu https://t.co/Rfa6KBkGeO'',['naysu']
7,928641233190137856,14.5328815,121.0069495,''THANK GOD!💖 https://t.co/jBw3r6hMue'',''THANK GOD!💖 https://t.co/jBw3r6hMue'',"['thank', 'god!💖']"
8,928645081732587520,14.4304565,120.96950149999999,''@CEUmanila anuna https://t.co/dpRzZvZoxe'',''@CEUmanila anuna https://t.co/dpRzZvZoxe'',['anuna']
9,928646762960580608,14.5914565,120.9839865,''Yes! walang consultation haha https://t.co/B5GvqFIkRe'',''Yes! walang consultation haha https://t.co/B5GvqFIkRe'',"['yes', 'walang', 'consultation', 'haha']"
10,928642510569615362,14.712613000000001,120.97565549999999,''Keep safe everyone!! 💯 https://t.co/FU72dTnmNB'',''Keep safe everyone!! 💯 https://t.co/FU72dTnmNB'',['safe']
11,928655666008358912,14.5847555,121.0392605,''nakakatouch naman pu https://t.co/DrpGAPlN3f'',''nakakatouch naman pu https://t.co/DrpGAPlN3f'',"['nakakatouch', 'naman']"
12,928650601713475584,13.3382755,121.184074,''HOYYYY STAY SAFE MGA CALAPEÑO!! #SalomePH https://t.co/LGvGNTCxAa'',''HOYYYY STAY SAFE MGA CALAPEÑO!! #SalomePH https://t.co/LGvGNTCxAa'',"['hoyyyy', 'stay', 'safe', 'mga', 'calapeño', 'salomeph']"
13,928681614896349185,14.5914565,120.9839865,''Nakakamiss din https://t.co/xRGir5ExFt'',''Nakakamiss din https://t.co/xRGir5ExFt'',"['nakakamiss', 'din']"
